"Strain","Well","cells_per_ml_start","FSCH_start","cells_per_ml_end","FSCH_end","Hours","Temperature","MicroResp_start","MicroResp_end","ATP_start","ATP_end","OD_start","OD_end","Plate","growth_rate","cell_volume_start","cell_volume_end","cell_diameter_start","cell_diameter_end","mean_diameter_start","mean_diameter_end","mean_volume_start","mean_volume_end","biomass_start","biomass_end","biomass_increase","growth_rate_biomass","CO2_raw","CO2_respired","Resp_rate","C_respired","Resp_rate_per_cell","Resp_rate_per_biomass","ATP_per_ml_start","ATP_per_cell_start","ATP_per_biomass_start","ATP_per_ml_end","ATP_per_cell_end","ATP_per_biomass_end","ATP_per_cell_change","ATP_per_biomass_change","Phylum","Class","Order","Family","Genus","Species","CUE","Gram_type","Motility","Spore_forming","Shape","Aero_anaero"
"04_04_02","A05",295200000,25726.941097561,365600000,24835.1248796499,5,5,0.904010416666667,0.431298824487896,122030,138752,0.162,0.1935,1,0.0427773493707356,0.155666302696338,0.151609047167979,0.667419148703715,0.661569536123322,0.673568451839051,0.65840347648209,0.160008787993297,0.149442790491684,17.6948902232362,21.2687880180887,3.57389779485258,0.0367929473652321,0.185288351391352,0.135213485127136,0.0270426970254272,50.705056922676,3.08100558926753e-08,0.522003872968636,0.291490630513813,9.87434385209394e-10,0.016473152804929,0.340494024558224,9.31329388835406e-10,0.0160090939017606,-1.04121680388211e-10,-0.0013495275223767,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","helmanticensis",0.0658431580610089,"Negative","Yes","No","Rod","Aerobic"
"04_04_02","B05",115600000,26339.3187889273,150100000,24054.3704197202,5,5,0.904010416666667,0.575187940304042,49256,56175,0.088,0.1515,1,0.0522331564802279,0.158493781682318,0.148115465304067,0.671435864452345,0.656448401275943,0.673568451839051,0.65840347648209,0.160008787993297,0.149442790491684,6.92929982996646,8.73207079189037,1.80277096192391,0.0462487544747245,0.104935781145256,0.0548609148810406,0.0109721829762081,20.5728430803902,3.11473777351071e-08,0.527781059584297,0.0972468539091943,8.41235760460158e-10,0.0140341529873827,0.114011097971878,7.59567608073806e-10,0.0130565934116982,-1.04121680388211e-10,-0.0013495275223767,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","helmanticensis",0.0805685581863686,"Negative","Yes","No","Rod","Aerobic"
"04_04_02","C05",62700000,26043.6847368421,8.4e+07,24243.8422857143,5,5,0.904010416666667,0.655457663525499,27726,27355,0.049,0.1045,1,0.0584910702408877,0.157124539461463,0.148958294328229,0.669496737718005,0.657691187613184,0.673568451839051,0.65840347648209,0.160008787993297,0.149442790491684,3.75836591123614,4.88670184223046,1.12833593099432,0.0525066682353843,0.0810733245509259,0.0309984582867102,0.00619969165734204,11.6244218575163,3.19213556515351e-08,0.540937893702361,0.0485169548685265,7.73795133469322e-10,0.0129090556945183,0.0477325273559321,5.68244373284906e-10,0.00976784115278565,-1.04121680388211e-10,-0.0013495275223767,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","helmanticensis",0.0884777982697103,"Negative","Yes","No","Rod","Aerobic"
"04_04_02","D05",27200000,28547.8447058824,32700000,24276.406146789,5,5,0.904010416666667,0.721822118017525,15361,16638,0.035,0.0745,1,0.0368316209202511,0.168975183611241,0.149103469580247,0.685922056482137,0.65790478091591,0.673568451839051,0.65840347648209,0.160008787993297,0.149442790491684,1.63042348940387,1.902323217154,0.271899727750125,0.0308472189147479,0.0670128813949904,0.0169380151307747,0.00338760302615493,6.3517556740405,4.2535537666239e-08,0.720611231910397,0.0237447489320822,8.72968710738318e-10,0.0145635468860694,0.0261536528688584,7.99805898130228e-10,0.0137482698171481,-1.04121680388211e-10,-0.0013495275223767,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","helmanticensis",0.0410497997339385,"Negative","Yes","No","Rod","Aerobic"
"04_04_02","A03",100500000,27875.94,141200000,27792.7906586402,6,10,0.929,0.422272727272727,26249,35760,0.0575,0.1025,1,0.0566699329266681,0.165738983041511,0.165341394803066,0.681514890362687,0.680969496117212,0.695679902274992,0.67784871795339,0.17628972224043,0.163078594297052,6.28535778675104,8.534558987317,2.24920120056596,0.0509834860532051,0.191951992157969,0.144221832360662,0.0240369720601104,54.0831871352484,7.53044370372234e-08,1.22592385969249,0.0454073799154075,4.51814725526442e-10,0.00722431108235749,0.0660101906760424,4.67494268243926e-10,0.00773445830934423,-9.15791426622725e-11,-0.00130385436479797,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","helmanticensis",0.0399273183156694,"Negative","Yes","No","Rod","Aerobic"
"04_04_02","B03",47800000,29512.3870502092,65400000,27426.7971559633,6,10,0.929,0.610629189189189,11982,11896,0.0345,0.0575,1,0.0522494364942906,0.17369409726049,0.163598912467042,0.692248695220454,0.678568866755912,0.695679902274992,0.67784871795339,0.17628972224043,0.163078594297052,2.98945375330049,3.95297562160433,0.963521868303839,0.046562989620827,0.0918807234409841,0.0441505636436771,0.00735842727394619,16.5564613663789,4.91514645870903e-08,0.800104661991151,0.0175800647963783,3.6778378235101e-10,0.00588069468442825,0.0174275025988403,2.66475574905814e-10,0.0044087048004023,-9.15791426622725e-11,-0.00130385436479797,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","helmanticensis",0.0549955930549318,"Negative","Yes","No","Rod","Aerobic"
"04_04_02","C03",2.3e+07,31286.6746956522,35900000,26026.1710027855,6,10,0.929,0.694721615720524,6478,6553,0.0185,0.0385,1,0.0742071799275141,0.182602518407409,0.15704367219278,0.703886625910174,0.669381861404915,0.695679902274992,0.67784871795339,0.17628972224043,0.163078594297052,1.43844009050024,2.16990557822011,0.731465487719878,0.0685207330540505,0.0710065019199287,0.0232763421226218,0.00387939035377029,8.72862829598316,5.02113868589466e-08,0.817662650443651,0.00835302039598807,3.63174799825568e-10,0.00580699915912605,0.00847017928999406,2.35938141782564e-10,0.00390347827804646,-9.15791426622725e-11,-0.00130385436479797,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","helmanticensis",0.0773211666231024,"Negative","Yes","No","Rod","Aerobic"
"04_04_02","D03",11900000,31466.9968907563,17500000,28022.262,6,10,0.929,0.7644686825054,3559,2981,0.0165,0.0285,1,0.0642770801353307,0.183524571199458,0.166440185455128,0.705069397606652,0.682474647535519,0.695679902274992,0.67784871795339,0.17628972224043,0.163078594297052,0.744236394650123,1.05775341556691,0.313517020916786,0.0585906332618673,0.0586549020642838,0.0109247422669768,0.00182079037782946,4.0967783501163,4.7023026840556e-08,0.76561341762217,0.00404675456670884,3.4006340896713e-10,0.00543745857606343,0.00326571281905322,1.86612161088755e-10,0.00308740465499035,-9.15791426622725e-11,-0.00130385436479797,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","helmanticensis",0.0710875337230183,"Negative","Yes","No","Rod","Aerobic"
"04_04_02","A05",88900000,29942.3847244094,116500000,29417.4035708154,4,15,0.863072916666667,0.446242166079123,39845,48295,0.0585,0.1065,1,0.0675947826214749,0.175825817794364,0.173225550368177,0.69506914157927,0.691625678342276,0.668644798454338,0.668833413478615,0.156525476206906,0.156657974292765,5.27772218135145,6.91881379615973,1.64109161480828,0.0676874346517397,0.170562256210153,0.117675250256539,0.0294188125641348,44.1282188462023,1.0807381740514e-07,1.82008481580045,0.075240614824342,8.46351122883487e-10,0.0142562666693978,0.0949558282360627,8.1507148700483e-10,0.0137242930701167,8.75524749406405e-11,0.00147050759207982,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","helmanticensis",0.0358557207499613,"Negative","Yes","No","Rod","Aerobic"
"04_04_02","B05",55300000,26313.3609403255,84200000,24891.724584323,4,15,0.863072916666667,0.560079233156028,17497,21912,0.0315,0.0905,1,0.105105503179997,0.158373239445225,0.15186442339442,0.671265601392882,0.6619407856452,0.668644798454338,0.668833413478615,0.156525476206906,0.156657974292765,3.28299253800602,5.00055040031458,1.71755786230856,0.105198155210263,0.107768154009965,0.054881148056351,0.0137202870140878,20.5804305211316,7.48483219925444e-08,1.26052424303543,0.0277962331688324,5.02644361100044e-10,0.00846673662734395,0.0364943172648347,4.33424195544355e-10,0.00729806008205394,8.75524749406405e-11,0.00147050759207982,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","helmanticensis",0.0770274803615972,"Negative","Yes","No","Rod","Aerobic"
